,Period,Step,Payment,Interest,Principal,Balance,Growth Rate,cumPmt,cumInt,cumP,additional_payment
160,161,6,699.2152769635256,443.77832367302875,255.4369532904969,102588.42853283999,0.00025,98328.81070790814,80134.23924074821,18194.571467159898,1000
161,162,6,699.2152769635256,442.6760957238985,256.5391812396271,102331.88935160036,0.00025,99028.02598487167,80576.91533647211,18451.110648399525,1000
162,163,6,699.2152769635256,441.5691115856728,257.64616537785287,102074.2431862225,0.00025,99727.2412618352,81018.48444805779,18708.756813777378,1000
163,164,6,699.2152769635256,440.4573507350697,258.7579262284559,101815.48525999405,0.00025,100426.45653879872,81458.94179879286,18967.514740005834,1000
164,165,6,699.2152769635256,439.34079256024825,259.8744844032774,101555.61077559077,0.00025,101125.67181576225,81898.28259135311,19227.38922440911,1000
165,166,6,699.2152769635256,438.2194163604259,260.99586060309974,101294.61491498767,0.00025,101824.88709272578,82336.50200771354,19488.38508501221,1000
166,167,6,699.2152769635256,437.0932013454947,262.1220756180309,101032.49283936965,0.00025,102524.10236968931,82773.59520905903,19750.50716063024,1000
167,168,6,699.2152769635256,435.96212663563614,263.2531503278895,100769.23968904176,0.00025,103223.31764665284,83209.55733569467,20013.76031095813,1000
168,169,7,724.407586885786,434.82617126093356,289.58141562485247,100479.6582734169,0.00025,103947.72523353863,83644.38350695561,20303.34172658298,1000
169,170,7,724.407586885786,433.5766076181688,290.83097926761724,100188.82729414929,0.00025,104672.13282042442,84077.96011457378,20594.172705850597,1000
170,171,7,724.407586885786,432.3216520226989,292.0859348630871,99896.7413592862,0.00025,105396.54040731021,84510.28176659648,20886.258640713684,1000
171,172,7,724.407586885786,431.0612812078788,293.34630567790725,99603.3950536083,0.00025,106120.947994196,84941.34304780436,21179.60494639159,1000
172,173,7,724.407586885786,429.79547180666594,294.6121150791201,99308.78293852918,0.00025,106845.35558108179,85371.13851961102,21474.21706147071,1000
173,174,7,724.407586885786,428.5242003511875,295.8833865345985,99012.89955199459,0.00025,107569.76316796758,85799.6627199622,21770.10044800531,1000
174,175,7,724.407586885786,427.2474432723054,297.1601436134806,98715.73940838111,0.00025,108294.17075485337,86226.91016323451,22067.26059161879,1000
175,176,7,724.407586885786,425.9651768991787,298.44240998660734,98417.29699839451,0.00025,109018.57834173916,86652.87534013369,22365.703001605398,1000
176,177,7,724.407586885786,424.67737745882556,299.73020942696047,98117.56678896755,0.00025,109742.98592862496,87077.55271759251,22665.43321103236,1000
177,178,7,724.407586885786,423.3840210756819,301.0235658101041,97816.54322315745,0.00025,110467.39351551075,87500.93673866818,22966.456776842464,1000
178,179,7,724.407586885786,422.08508377115885,302.3225031146272,97514.22072004282,0.00025,111191.80110239654,87923.02182243935,23268.779279957093,1000
179,180,7,724.407586885786,420.78054146319846,303.62704542258757,97210.59367462024,0.00025,111916.20868928233,88343.80236390255,23572.40632537968,1000
180,181,7,724.407586885786,419.470369965827,304.93721691995904,96905.65645770027,0.00025,112640.61627616812,88763.27273386838,23877.34354229964,1000
181,182,7,724.407586885786,418.1545449887066,306.2530418970794,96599.40341580319,0.00025,113365.02386305391,89181.42727885708,24183.59658419672,1000
182,183,7,724.407586885786,416.8330421366849,307.5745447491011,96291.82887105408,0.00025,114089.4314499397,89598.26032099377,24491.17112894582,1000
